School Name,Address,Phone
100 Academy of Engineering and Technology ES,"2341 COMSTOCK DR, N LAS VEGAS, NV 89032",(702)636-2551
100 Academy of Engineering and Technology MS,"2341 COMSTOCK DR, N LAS VEGAS, NV 89032",(702)636-2551
112 ALC Independent Study,"11 PEAVEY RD, CHASKA, MN 55318",(952)556-6192
112 ALC MIDDLE SCHOOL,"11 PEAVEY RD, CHASKA, MN 55318",(952)556-6192
112 ALC Seat-Based,"11 PEAVEY RD, CHASKA, MN 55318",(952)556-6192
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,"319 W 4TH ST, WESLACO, TX 78596",(956)969-6620
21st Century Learning Academy/Kiowa County,"730 S. Main, Greensburg, KS 67054",(620)723-1130
21ST CENTURY PUBLIC ACADEMY,"4300 CUTLER AVE. NE, ALBUQUERQUE, NM 87110",(505)254-0280
270 HOPKINS ALTERNATIVE,"2400 LINDBERGH DR, MINNETONKA, MN 55305",(952)988-4509
270 HOPKINS NORTH JR HIGH ALC,"10700 CEDAR LAKE RD, MINNETONKA, MN 55305",(952)988-4843
270 HOPKINS WEST JR HIGH ALC,"3830 BAKER RD, MINNETONKA, MN 55305",(952)988-4843
277 WESTONKA AREA LEARNING ACADEMY,"5901 SUNNYFIELD RD E, MINNETRISTA, MN 55364",(952)491-8258
27J Online Academy,"18551 E. 160TH AVE, BRIGHTON, CO 80601",(303)655-2958
283-IND STDY 15 AND UNDER - I.S.,"6425 W 33RD ST, SAINT LOUIS PARK, MN 55426",(952)928-6000
283-ST. LOUIS PARK ALC,"6425 W 33RD ST, SAINT LOUIS PARK, MN 55426",(952)928-6000
